filename,answer,elapsed
im0044,0,0.078125
im0122,0,0.0625
im0045,0,0.078125
im0289,0,0.0625
im0142,0,0.0625
im0038,0,0.0625
im0092,0,0.078125
im0308,0,0.078125
im0068,0,0.078125
im0361,0,0.078125
im0384,0,0.109375
im0139,0,0.078125
im0375,1,0.078125
im0364,0,0.15625
im0293,1,0.09375
im0143,1,0.109375
im0362,0,0.078125
im0180,0,0.078125
im0005,1,0.125
im0304,0,0.078125
im0314,0,0.078125
im0019,1,0.078125
im0228,0,0.125
im0287,0,0.0625
im0105,0,0.09375
im0184,0,0.09375
im0077,0,0.078125
im0087,0,0.09375
im0025,0,0.078125
im0251,0,0.078125
im0277,0,0.078125
im0099,0,0.0625
im0165,0,0.078125
im0054,0,0.078125
im0265,0,0.09375
im0117,0,0.125
im0335,0,0.078125
im0026,1,0.09375
im0040,0,0.078125
im0120,0,0.078125
im0185,1,0.09375
im0051,0,0.109375
im0245,0,0.078125
im0400,0,0.09375
im0282,0,0.375
im0365,0,0.09375
im0177,0,0.078125
im0296,0,0.078125
im0284,0,0.078125
im0369,1,0.125
im0204,0,0.15625
im0075,0,0.078125
im0071,0,0.078125
im0195,0,0.078125
im0232,0,0.09375
im0260,0,0.078125
im0093,0,0.125
im0091,0,0.078125
im0215,0,0.09375
im0135,0,0.09375
im0112,0,0.109375
im0169,1,0.140625
im0356,0,0.109375
im0058,0,0.078125
im0368,0,0.09375
im0009,0,0.078125
im0330,0,0.109375
im0164,0,0.09375
im0070,0,0.09375
im0255,0,0.109375
im0129,0,0.109375
im0345,0,0.078125
im0033,0,0.09375
im0191,0,0.078125
im0315,0,0.09375
im0269,0,0.09375
im0101,1,0.109375
im0010,0,0.109375
im0351,0,0.109375
im0126,0,0.078125
im0080,0,0.09375
im0288,0,0.09375
im0050,0,0.09375
im0390,0,0.09375
im0209,0,0.09375
im0205,0,0.09375
im0318,0,0.09375
im0381,0,0.078125
im0171,0,0.09375
im0168,1,0.140625
im0214,1,0.109375
im0074,1,0.125
im0155,0,0.125
im0014,0,0.09375
im0371,0,0.09375
im0140,0,0.125
im0346,1,0.15625
im0226,0,0.15625
im0042,0,0.125
im0349,0,0.109375
im0250,0,0.09375
im0176,0,0.09375
im0060,0,0.09375
im0130,0,0.09375
im0352,0,0.09375
im0242,0,0.09375
im0136,0,0.109375
im0027,0,0.125
im0217,1,0.140625
im0137,0,0.109375
im0114,0,0.09375
im0239,0,0.09375
im0113,0,0.09375
im0379,0,0.09375
im0023,0,0.09375
im0043,1,0.15625
im0202,1,0.171875
im0029,1,0.171875
im0084,0,0.1875
im0119,0,0.109375
im0094,0,0.109375
im0083,0,0.109375
im0151,1,0.140625
im0266,0,0.125
im0223,0,0.09375
im0146,0,0.09375
im0062,0,0.109375
im0072,0,0.109375
im0386,0,0.109375
im0321,0,0.09375
im0172,0,0.109375
im0076,0,0.109375
im0107,0,0.109375
im0309,0,0.109375
im0017,1,0.125
im0032,0,0.140625
im0133,0,0.109375
im0230,0,0.109375
im0052,0,0.109375
im0246,0,0.109375
im0097,0,0.15625
im0306,0,0.125
im0227,0,0.109375
im0219,0,0.140625
im0211,1,0.15625
im0170,0,0.15625
im0283,0,0.09375
im0274,0,0.109375
im0201,0,0.109375
im0207,0,0.15625
im0116,0,0.109375
im0069,0,0.125
im0237,0,0.140625
im0295,0,0.109375
im0233,0,0.109375
im0016,0,0.109375
im0329,1,0.15625
im0332,1,0.234375
im0319,0,0.125
im0370,0,0.109375
im0200,0,0.109375
im0331,0,0.125
im0089,0,0.109375
im0385,0,0.125
im0298,0,0.125
im0363,0,0.125
im0065,0,0.109375
im0160,0,0.125
im0161,1,0.15625
im0278,0,0.140625
im0387,0,0.109375
im0159,0,0.109375
im0359,0,0.125
im0163,0,0.109375
im0366,0,0.109375
im0273,0,0.125
im0342,0,0.109375
im0186,0,0.125
im0138,0,0.140625
im0059,0,0.125
im0249,0,0.125
im0401,0,0.125
im0391,0,0.125
im0190,0,0.15625
im0037,0,0.109375
im0299,0,0.125
im0262,0,0.125
im0018,0,0.125
im0098,0,0.125
im0049,0,0.125
im0174,0,0.15625
im0259,0,0.125
im0281,0,0.140625
im0110,0,0.125
im0327,0,0.125
im0004,0,0.125
im0031,0,0.125
im0236,0,0.125
im0279,0,0.15625
im0258,0,0.125
im0343,0,0.109375
im0372,1,0.15625
im0336,0,0.171875
im0322,0,0.125
im0294,0,0.15625
im0196,0,0.125
im0002,0,0.140625
im0360,0,0.125
im0212,1,0.140625
im0028,1,0.171875
im0149,0,0.171875
im0263,0,0.140625
im0193,0,0.140625
im0222,0,0.125
im0312,0,0.125
im0301,0,0.125
im0399,1,0.140625
im0297,0,0.1875
im0103,0,0.125
im0367,0,0.140625
im0244,0,0.125
im0061,0,0.125
im0271,0,0.125
im0377,0,0.140625
im0388,0,0.125
im0015,0,0.125
im0333,1,0.125
im0090,1,0.140625
im0339,0,0.171875
im0175,0,0.15625
im0197,0,0.140625
im0085,0,0.140625
im0392,0,0.15625
im0003,0,0.140625
im0357,0,0.125
im0187,0,0.21875
im0398,1,0.1875
im0224,0,0.203125
im0157,1,0.15625
im0350,0,0.15625
im0316,0,0.140625
im0218,0,0.140625
im0192,0,0.125
im0300,0,0.140625
im0290,0,0.15625
im0048,0,0.140625
im0325,0,0.1875
im0030,0,0.140625
im0056,0,0.140625
im0034,1,0.15625
im0206,0,0.15625
im0150,0,0.25
im0310,0,0.625
im0267,0,0.078125
im0096,0,0.078125
im0013,0,0.53125
im0220,0,0.140625
im0123,0,0.125
im0334,0,0.53125
im0188,0,0.046875
im0121,0,0.0625
im0225,0,0.0625
im0402,0,0.46875
im0396,1,0.140625
im0115,0,0.046875
im0383,0,0.03125
im0311,0,0.0625
im0199,0,0.046875
im0053,1,0.453125
im0153,0,0.046875
im0081,0,0.046875
im0292,0,0.046875
im0302,0,0.046875
im0338,0,0.046875
im0067,0,0.046875
im0039,0,0.046875
im0024,0,0.046875
im0253,0,0.03125
